id,kostat_category_5_code,kostat_category_5_name,pdeck_category_2_code,pdeck_category_2_name
1197,01110,곡물 및 기타 식량작물 재배업,0603,농업/애그테크
1198,01121,채소작물 재배업,0603,농업/애그테크
1199,01122,화훼작물 재배업,0603,농업/애그테크
1200,01123,종자 및 묘목 생산업,0603,농업/애그테크
1201,01131,과실작물 재배업,0603,농업/애그테크
1202,01132,음료용 및 향신용 작물 재배업,0603,농업/애그테크
1203,01140,기타 작물 재배업,0603,농업/애그테크
1204,01151,콩나물 재배업,0603,농업/애그테크
1205,01152,"채소, 화훼 및 과실작물 시설 재배업",0603,농업/애그테크
1206,01159,기타 시설작물 재배업,0603,농업/애그테크
1207,01211,젖소 사육업,0603,농업/애그테크
1208,01212,육우 사육업,0603,농업/애그테크
1209,01220,양돈업,0603,농업/애그테크
1210,01231,양계업,0603,농업/애그테크
1211,01239,기타 가금류 및 조류 사육업,0603,농업/애그테크
1212,01291,말 및 양 사육업,0603,농업/애그테크
1213,01299,그 외 기타 축산업,0603,농업/애그테크
1214,01300,작물재배 및 축산 복합농업,0603,농업/애그테크
1215,01411,작물재배 지원 서비스업,0603,농업/애그테크
1216,01412,농산물 건조선별 및 기타 수확 후 서비스업,0603,농업/애그테크
1217,01420,축산 관련 서비스업,0603,농업/애그테크
1218,01500,수렵 및 관련 서비스업,0603,농업/애그테크
1219,02011,임업용 종묘 생산업,0603,농업/애그테크
1220,02012,육림업,0603,농업/애그테크
1221,02020,벌목업,0603,농업/애그테크
1222,02030,임산물 채취업,0603,농업/애그테크
1223,02990,임업 관련 서비스업,0603,농업/애그테크
1224,03111,원양 어업,0603,농업/애그테크
1225,03112,연근해 어업,0603,농업/애그테크
1226,03120,내수면 어업,0603,농업/애그테크
1227,03211,해수면 양식 어업,0603,농업/애그테크
1228,03212,내수면 양식 어업,0603,농업/애그테크
1229,03213,수산물 부화 및 수산 종자 생산업,0603,농업/애그테크
1230,03220,어업 관련 서비스업,0603,농업/애그테크
1231,05100,석탄 광업,0602,석유/가스/광업
1232,05200,원유 및 천연가스 채굴업,0602,석유/가스/광업
1233,06100,철 광업,0602,석유/가스/광업
1234,06200,비철금속 광업,0602,석유/가스/광업
1235,07110,석회석 및 점토 광업,0602,석유/가스/광업
1236,07121,건설용 석재 채굴 및 쇄석 생산업,0602,석유/가스/광업
1237,07122,모래 및 자갈 채취업,0602,석유/가스/광업
1238,07210,화학용 및 비료 원료용 광물 광업,0602,석유/가스/광업
1239,07220,천일염 생산 및 암염 채취업,0602,석유/가스/광업
1240,07290,그 외 기타 비금속광물 광업,0602,석유/가스/광업
1241,08000,광업 지원 서비스업,0602,석유/가스/광업
1242,10111,육류 도축업(가금류 제외),0704,식품 및 음료
1243,10112,가금류 도축업,0704,식품 및 음료
1244,10121,가금류 가공 및 저장 처리업,0704,식품 및 음료
1245,10122,육류 포장육 및 냉동육 가공업(가금류 제외),0704,식품 및 음료
1246,10129,육류 기타 가공 및 저장 처리업(가금류 제외),0704,식품 및 음료
1247,10211,수산동물 훈제조리 및 유사 조제식품 제조업,0704,식품 및 음료
1248,10212,수산동물 건조 및 염장품 제조업,0704,식품 및 음료
1249,10213,수산동물 냉동품 제조업,0704,식품 및 음료
1250,10219,기타 수산동물 가공 및 저장 처리업,0704,식품 및 음료
1251,10220,수산식물 가공 및 저장 처리업,0704,식품 및 음료
1252,10301,김치류 제조업,0704,식품 및 음료
1253,10302,과실 및 그 외 채소 절임식품 제조업,0704,식품 및 음료
1254,10309,기타 과실ㆍ채소 가공 및 저장 처리업,0704,식품 및 음료
1255,10401,동물성 유지 제조업,0704,식품 및 음료
1256,10402,식물성 유지 제조업,0704,식품 및 음료
1257,10403,식용 정제유 및 가공유 제조업,0704,식품 및 음료
1258,10501,액상 시유 및 기타 낙농제품 제조업,0704,식품 및 음료
1259,10502,아이스크림 및 기타 식용 빙과류 제조업,0704,식품 및 음료
1260,10611,곡물 도정업,0704,식품 및 음료
1261,10612,곡물 제분업,0704,식품 및 음료
1262,10613,곡물 혼합 분말 및 반죽 제조업,0704,식품 및 음료
1263,10619,기타 곡물 가공품 제조업,0704,식품 및 음료
1264,10620,전분제품 및 당류 제조업,0704,식품 및 음료
1265,10711,떡류 제조업,0704,식품 및 음료
1266,10712,빵류 제조업,0704,식품 및 음료
1267,10713,과자류 및 코코아 제품 제조업,0704,식품 및 음료
1268,10720,설탕 제조업,0704,식품 및 음료
1269,10730,면류마카로니 및 유사 식품 제조업,0704,식품 및 음료
