ksic_code,ksic_level,total_bills,passed_bills,processed_bills,pending_bills,pass_rate,recent_90d_bills,avg_days_to_pass,reg_count,support_count,neutral_count,reg_ratio,reg_pass_rate,risk_score
011,3,400,37,169,231,21.9,19,231,0,32,368,0.0,0.0,0.0
012,3,72,12,27,45,44.4,2,231,0,3,69,0.0,0.0,0.0
014,3,9,0,2,7,0.0,1,,0,9,0,0.0,0.0,0.0
020,3,25,3,9,16,33.3,1,307,0,15,10,0.0,0.0,0.0
031,3,633,98,266,367,36.8,33,241,0,157,476,0.0,0.0,0.0
032,3,355,53,139,216,38.1,23,269,0,51,304,0.0,0.0,0.0
051,3,12,5,5,7,100.0,0,214,0,0,12,0.0,0.0,0.0
052,3,55,9,24,31,37.5,4,196,21,4,30,38.2,19.0,4.0
061,3,12,5,5,7,100.0,0,214,0,0,12,0.0,0.0,0.0
101,3,294,51,127,167,40.2,11,339,27,46,221,9.2,40.7,11.0
104,3,1,0,0,1,0.0,0,,0,1,0,0.0,0.0,0.0
107,3,294,51,127,167,40.2,11,339,27,46,221,9.2,40.7,11.0
111,3,5,3,4,1,75.0,0,,0,0,5,0.0,0.0,0.0
141,3,2,0,0,2,0.0,1,,0,2,0,0.0,0.0,0.0
201,3,90,17,46,44,37.0,1,252,22,4,64,24.4,18.2,4.0
202,3,23,5,13,10,38.5,1,141,5,0,18,21.7,20.0,1.0
204,3,35,6,21,14,28.6,5,140,0,1,34,0.0,0.0,0.0
211,3,48,11,21,27,52.4,0,381,1,15,32,2.1,0.0,0.0
212,3,52,12,22,30,54.5,1,363,1,18,33,1.9,0.0,0.0
221,3,4,0,0,4,0.0,0,,0,2,2,0.0,0.0,0.0
241,3,5,1,5,0,20.0,0,,0,5,0,0.0,0.0,0.0
252,3,150,25,61,89,41.0,8,210,1,8,141,0.7,0.0,0.0
261,3,65,7,21,44,33.3,2,308,0,58,7,0.0,0.0,0.0
262,3,1,0,0,1,0.0,0,,0,1,0,0.0,0.0,0.0
271,3,78,14,49,29,28.6,2,499,0,2,76,0.0,0.0,0.0
282,3,23,3,7,16,42.9,2,302,0,5,18,0.0,0.0,0.0
291,3,285,30,131,154,22.9,13,223,130,155,0,45.6,6.9,9.0
301,3,501,52,193,308,26.9,21,322,0,93,408,0.0,0.0,0.0
303,3,67,17,39,28,43.6,5,331,2,50,15,3.0,0.0,0.0
311,3,76,18,34,42,52.9,2,252,1,9,66,1.3,100.0,1.0
312,3,4,2,2,2,100.0,0,456,0,0,4,0.0,0.0,0.0
351,3,418,45,144,274,31.2,24,325,0,140,278,0.0,0.0,0.0
