ksic_code,ksic_level,total_bills,passed_bills,processed_bills,pending_bills,pass_rate,recent_90d_bills,avg_days_to_pass,reg_count,support_count,neutral_count,reg_ratio,reg_pass_rate,risk_score
0,1,1171,178,541,630,32.9,49,217,35,216,920,3.0,25.7,9.0
1,1,309,61,134,175,45.5,11,265,37,50,222,12.0,45.9,17.0
2,1,954,128,460,494,27.8,73,263,247,323,384,25.9,9.7,24.0
3,1,2546,320,1028,1518,31.1,132,273,65,508,1973,2.6,20.0,13.0
4,1,4104,403,1475,2629,27.3,191,256,743,701,2660,18.1,8.7,64.6
5,1,1452,217,613,839,35.4,76,334,169,530,753,11.6,10.7,18.1
6,1,4922,432,1606,3316,26.9,227,263,292,339,4291,5.9,8.6,25.1
7,1,738,62,277,461,22.4,54,248,44,251,443,6.0,2.3,1.0
8,1,5648,577,1828,3820,31.6,219,278,449,393,4806,7.9,7.1,31.9
9,1,1022,180,485,537,37.1,46,257,3,567,452,0.3,0.0,0.0
